Date,U.S. Field Production of Crude Oil (1k Bar.),Product Supplied of Crude Oil and Petroleum Products (1k Bar.),Gross Inputs to Refineries (1k Bar./Day),Operable Crude Oil Distillation Capacity (1k Bar./Calendar Day),Operating Crude Oil Distillation Capacity (1k Bar./Day),Idle Crude Oil Distillation Capacity (1k Bar./Day),Percent Utilization of Refinery Operable Capacity,"Cushing, OK Crude Oil Future Contract ($/Bar.)","Cushing, OK WTI Spot Price FOB ($/Bar.)"
Apr-1986,265917,478339,12603,15473,14550,923,81.5,12.8,12.8
Apr-1987,254945,495706,12637,15565,14870,695,81.2,18.6,18.7
Apr-1988,248629,496816,13346,15888,14986,902,84,17.9,17.9
Apr-1989,233147,498719,13123,15687,14944,743,83.7,20.9,21.1
Apr-1990,222215,503351,13250,15582,14827,754,85,18.6,18.4
Apr-1991,225256,484163,13283,15698,15127,570,84.6,20.8,20.8
Apr-1992,218775,502929,13356,15626,14958,668,85.5,20.3,20.2
Apr-1993,206439,503439,13819,15139,14981,158,91.3,20.3,20.3
Apr-1994,198363,524661,14009,15161,14375,786,92.4,16.3,16.4
Apr-1995,198111,514265,13974,15440,15123,318,90.5,19.9,19.9
Apr-1996,193317,536547,14432,15186,15044,141,95,23.3,23.5
Apr-1997,193239,556769,14465,15616,15229,387,92.6,19.7,19.7
Apr-1998,194483,571320,15301,15692,15547,144,97.5,15.5,15.4
Apr-1999,176616,574548,15386,16258,16126,132,94.6,17.3,17.3
Apr-2000,175625,564493,15281,16505,15909,596,92.6,25.5,25.7
Apr-2001,175879,591867,15768,16608,16428,180,94.9,27.6,27.5
Apr-2002,175333,586562,15586,16757,16415,342,93,26.3,26.2
Apr-2003,171774,594912,15754,16747,16711,35,94.1,28.1,28.2
Apr-2004,166810,616345,15702,16978,16921,57,92.5,36.6,36.8
Apr-2005,166885,604101,15899,17129,17084,45,92.8,53.2,53
Apr-2006,152450,606038,15303,17390,16597,793,88,70.2,69.4
Apr-2007,155407,616079,15371,17443,17136,307,88.1,64,64
Apr-2008,155403,594449,15157,17594,17093,501,86.2,112.5,112.6
Apr-2009,158344,560172,14610,17672,16817,854,82.7,49.9,49.6
Apr-2010,161769,571989,15592,17589,17054,534,88.7,84.6,84.3
Apr-2011,166858,557445,14710,17736,17006,730,82.9,110,109.5
Apr-2012,189590,544879,14952,17275,16713,562,86.6,103.3,103.3
Apr-2013,221261,557828,15282,17814,17005,809,85.8,92.1,92
Apr-2014,255795,565032,16264,17951,17725,226,90.6,102,102.1
Apr-2015,289735,577827,16521,17962,17489,472,92,54.6,54.5
Apr-2016,266122,580388,16223,18319,17606,713,88.6,41.1,40.8
Apr-2017,273090,588635,17276,18621,18420,201,92.8,51.1,51.1
Apr-2018,314803,601151,17101,18598,18561,37,92,66.3,66.3
Apr-2019,363737,609978,16691,18808,18498,310,88.7,63.9,63.9
Apr-2020,357344,436455,13315,18976,18494,482,70.2,16.7,16.5
Apr-2021,336905,583781,15633,18128,17553,574,86.2,61.7,61.7
Aug-1986,259580,515167,13392,15430,14807,624,86.8,15.1,15.1
Aug-1987,254508,506741,13527,15598,15014,584,86.7,20.2,20.3
Aug-1988,250459,541955,13953,15958,14893,1065,87.4,15.5,15.5
Aug-1989,233878,538172,14024,15706,15075,632,89.3,18.5,18.6
Aug-1990,225886,559565,14234,15701,15097,604,90.7,27.2,27.3
Aug-1991,226801,532675,14005,15724,15230,494,89.1,21.7,21.7
Aug-1992,214575,524787,13649,15322,14861,460,89.1,21.3,21.3
Aug-1993,209492,537278,14040,15140,15059,81,92.7,18,18
Aug-1994,202869,561618,14618,15165,15039,126,96.4,18.4,18.4
Aug-1995,199846,559362,14473,15393,15236,157,94,17.8,18
Aug-1996,197162,578396,14538,15306,15168,138,95,21.9,21.9
Aug-1997,196769,575517,15465,15641,15452,189,98.9,19.9,20
Aug-1998,192282,599748,15806,15828,15685,143,99.9,13.4,13.5
Aug-1999,179187,622884,15559,16287,16134,153,95.5,21.3,21.3
Aug-2000,179451,635381,15856,16548,16343,205,95.8,31.1,31.3
Aug-2001,177488,624740,15543,16662,16407,255,93.3,27.3,27.4
Aug-2002,179670,626859,15572,16764,16643,121,92.9,28.2,28.4
Aug-2003,172787,638153,15911,16747,16710,36,95,31.6,31.6
Aug-2004,165072,651864,16494,16978,16904,74,97.1,44.9,44.9
Aug-2005,161153,671648,15969,17230,17141,88,92.7,65,65
Aug-2006,156232,664448,16206,17392,17150,242,93.2,73.1,73
Aug-2007,154060,651790,15859,17460,17202,259,90.8,72.4,72.4
Aug-2008,155092,597441,15343,17610,17464,146,87.1,116.7,116.7
Aug-2009,167945,587432,14870,17681,17091,590,84.1,71.1,71
Aug-2010,168867,609559,15681,17594,17020,573,89.1,76.7,76.6
Aug-2011,175618,600253,16009,17736,17109,627,90.3,86.3,86.3
Aug-2012,196854,593330,15679,17211,16881,330,91.1,94.2,94.1
Aug-2013,233609,593334,16291,17820,17444,376,91.4,106.5,106.6
Aug-2014,276813,600526,16707,17835,17563,272,93.7,96.1,96.5
Aug-2015,291691,617749,16962,18098,17977,121,93.7,42.9,42.9
Aug-2016,269331,628109,16976,18433,18313,120,92.1,44.8,44.7
Aug-2017,286596,628494,17243,18571,18448,123,92.9,48.1,48
Aug-2018,352575,662039,17969,18601,18520,81,96.6,67.8,68.1
Aug-2019,386725,655895,17833,18808,18363,445,94.8,54.8,54.8
Aug-2020,327285,575294,14693,18622,18190,432,78.9,42.4,42.3
