Date,U.S. Gross Inputs to Refineries (Thousand Barrels per Day),U.S. Operable Crude Oil Distillation Capacity (Thousand Barrels per Calendar Day),U.S. Operating Crude Oil Distillation Capacity (Thousand Barrels per Day),U.S. Idle Crude Oil Distillation Capacity (Thousand Barrels per Day),U.S. Percent Utilization of Refinery Operable Capacity
Jan-1986,12583.0,15459.0,14639.0,820.0,81.4
Feb-1986,12068.0,15485.0,14538.0,947.0,77.9
Mar-1986,11759.0,15485.0,14517.0,968.0,75.9
Apr-1986,12603.0,15473.0,14550.0,923.0,81.5
May-1986,13314.0,15484.0,14805.0,679.0,86.0
Jun-1986,13347.0,15465.0,14649.0,816.0,86.3
Jul-1986,13009.0,15475.0,14607.0,868.0,84.1
Aug-1986,13392.0,15430.0,14807.0,624.0,86.8
Sep-1986,13191.0,15435.0,14870.0,565.0,85.5
Oct-1986,12753.0,15435.0,14827.0,608.0,82.6
Nov-1986,12928.0,15440.0,14835.0,606.0,83.7
Dec-1986,12914.0,15440.0,14662.0,779.0,83.6
Jan-1987,12725.0,15566.0,14940.0,625.0,81.8
Feb-1987,12417.0,15548.0,14748.0,799.0,79.9
Mar-1987,12237.0,15559.0,14816.0,743.0,78.6
Apr-1987,12637.0,15565.0,14870.0,695.0,81.2
May-1987,12848.0,15565.0,14824.0,741.0,82.5
Jun-1987,13306.0,15588.0,14836.0,751.0,85.4
Jul-1987,13612.0,15701.0,15122.0,579.0,86.7
Aug-1987,13527.0,15598.0,15014.0,584.0,86.7
Sep-1987,13328.0,15593.0,14984.0,609.0,85.5
Oct-1987,12896.0,15592.0,14935.0,657.0,82.7
Nov-1987,13074.0,15888.0,14895.0,994.0,82.3
Dec-1987,13383.0,15946.0,14996.0,951.0,83.9
Jan-1988,13175.0,15915.0,15018.0,897.0,82.8
Feb-1988,12889.0,15942.0,14922.0,1020.0,80.9
Mar-1988,13241.0,15888.0,15015.0,873.0,83.3
Apr-1988,13346.0,15888.0,14986.0,902.0,84.0
May-1988,13638.0,15909.0,14979.0,930.0,85.7
Jun-1988,13710.0,15934.0,14831.0,1103.0,86.0
Jul-1988,13804.0,15958.0,14851.0,1107.0,86.5
Aug-1988,13953.0,15958.0,14893.0,1065.0,87.4
Sep-1988,13356.0,15965.0,15124.0,841.0,83.7
Oct-1988,13304.0,15946.0,15117.0,829.0,83.4
Nov-1988,13354.0,15909.0,15081.0,828.0,83.9
Dec-1988,13554.0,15919.0,14887.0,1032.0,85.1
Jan-1989,13502.0,15655.0,15012.0,643.0,86.2
Feb-1989,12974.0,15671.0,14964.0,707.0,82.8
Mar-1989,13131.0,15669.0,14931.0,738.0,83.8
Apr-1989,13123.0,15687.0,14944.0,743.0,83.7
May-1989,13566.0,15692.0,15008.0,683.0,86.5
Jun-1989,14067.0,15698.0,15124.0,575.0,89.6
Jul-1989,13957.0,15698.0,15097.0,602.0,88.9
Aug-1989,14024.0,15706.0,15075.0,632.0,89.3
Sep-1989,13898.0,15722.0,14963.0,759.0,88.4
Oct-1989,13533.0,15722.0,14946.0,775.0,86.1
Nov-1989,13549.0,15732.0,15106.0,626.0,86.1
Dec-1989,13244.0,15761.0,15117.0,644.0,84.0
Jan-1990,13668.0,15572.0,15063.0,509.0,87.8
Feb-1990,13695.0,15578.0,15036.0,542.0,87.9
Mar-1990,13080.0,15582.0,14844.0,737.0,83.9
Apr-1990,13250.0,15582.0,14827.0,754.0,85.0
May-1990,13576.0,15582.0,14884.0,698.0,87.1
Jun-1990,13893.0,15597.0,14899.0,698.0,89.1
Jul-1990,14414.0,15598.0,15100.0,498.0,92.4
Aug-1990,14234.0,15701.0,15097.0,604.0,90.7
Sep-1990,14298.0,15702.0,15120.0,582.0,91.1
Oct-1990,13076.0,15666.0,15125.0,540.0,83.5
Nov-1990,13187.0,15666.0,14936.0,730.0,84.2
Dec-1990,12961.0,15656.0,14755.0,901.0,82.8
Jan-1991,12931.0,15676.0,14959.0,717.0,82.5
Feb-1991,13224.0,15677.0,15022.0,655.0,84.4
Mar-1991,13051.0,15686.0,15117.0,569.0,83.2
Apr-1991,13283.0,15698.0,15127.0,570.0,84.6
May-1991,13748.0,15709.0,15159.0,550.0,87.5
Jun-1991,14128.0,15726.0,15209.0,518.0,89.8
Jul-1991,13941.0,15694.0,15186.0,508.0,88.8
Aug-1991,14005.0,15724.0,15230.0,494.0,89.1
Sep-1991,13883.0,15724.0,15204.0,520.0,88.3
Oct-1991,13118.0,15722.0,15177.0,545.0,83.4
Nov-1991,13156.0,15722.0,15144.0,578.0,83.7
Dec-1991,13614.0,15722.0,15097.0,625.0,86.6
Jan-1992,13097.0,15696.0,14965.0,731.0,83.4
Feb-1992,12742.0,15671.0,14940.0,731.0,81.3
Mar-1992,13292.0,15618.0,14893.0,725.0,85.1
Apr-1992,13356.0,15626.0,14958.0,668.0,85.5
May-1992,13850.0,15490.0,14873.0,618.0,89.4
Jun-1992,14285.0,15458.0,14808.0,650.0,92.4
Jul-1992,14176.0,15432.0,14808.0,623.0,91.9
Aug-1992,13649.0,15322.0,14861.0,460.0,89.1
