Date,Product Supplied of Crude Oil and Petroleum Products (1k Bar.)
Jan-1986,498728.0
Feb-1986,453209.0
Mar-1986,504565.0
Apr-1986,478339.0
May-1986,495789.0
Jun-1986,481482.0
Jul-1986,505514.0
Aug-1986,515167.0
Sep-1986,477269.0
Oct-1986,514674.0
Nov-1986,486633.0
Dec-1986,531060.0
Jan-1987,517210.0
Feb-1987,473425.0
Mar-1987,501109.0
Apr-1987,495706.0
May-1987,496806.0
Jun-1987,504892.0
Jul-1987,530502.0
Aug-1987,506741.0
Sep-1987,500097.0
Oct-1987,525173.0
Nov-1987,490290.0
Dec-1987,540790.0
Jan-1988,539481.0
Feb-1988,515026.0
Mar-1988,545962.0
Apr-1988,496816.0
May-1988,502103.0
Jun-1988,511781.0
Jul-1988,517536.0
Aug-1988,541955.0
Sep-1988,512149.0
Oct-1988,544972.0
Nov-1988,528590.0
Dec-1988,569322.0
Jan-1989,535329.0
Feb-1989,501749.0
Mar-1989,557660.0
Apr-1989,498719.0
May-1989,512928.0
Jun-1989,524903.0
Jul-1989,510039.0
Aug-1989,538172.0
Sep-1989,503850.0
Oct-1989,536411.0
Nov-1989,519331.0
Dec-1989,584589.0
Jan-1990,525878.0
Feb-1990,480896.0
Mar-1990,529703.0
Apr-1990,503351.0
May-1990,524350.0
Jun-1990,514961.0
Jul-1990,529591.0
Aug-1990,559565.0
Sep-1990,495360.0
Oct-1990,524967.0
Nov-1990,500850.0
Dec-1990,511328.0
Jan-1991,523670.0
Feb-1991,457486.0
Mar-1991,502581.0
Apr-1991,484163.0
May-1991,501860.0
Jun-1991,506333.0
Jul-1991,526087.0
Aug-1991,532675.0
Sep-1991,505429.0
Oct-1991,526870.0
Nov-1991,501911.0
Dec-1991,531485.0
Jan-1992,527375.0
Feb-1992,489886.0
Mar-1992,521571.0
Apr-1992,502929.0
May-1992,511048.0
Jun-1992,509344.0
Jul-1992,531442.0
Aug-1992,524787.0
Sep-1992,506265.0
Oct-1992,540892.0
Nov-1992,512730.0
Dec-1992,555755.0
Jan-1993,501374.0
Feb-1993,485354.0
Mar-1993,544816.0
Apr-1993,503439.0
May-1993,511747.0
Jun-1993,512878.0
Jul-1993,538070.0
Aug-1993,537278.0
Sep-1993,529508.0
Oct-1993,537012.0
Nov-1993,533395.0
Dec-1993,556536.0
Jan-1994,560233.0
Feb-1994,513444.0
Mar-1994,536696.0
Apr-1994,524661.0
May-1994,532616.0
Jun-1994,534461.0
Jul-1994,542046.0
Aug-1994,561618.0
