Date,"Cushing, OK Crude Oil Future Contract ($/Bar.)"
Jan-1986,23.0
Feb-1986,15.5
Mar-1986,12.6
Apr-1986,12.8
May-1986,15.3
Jun-1986,13.4
Jul-1986,11.6
Aug-1986,15.1
Sep-1986,14.9
Oct-1986,14.9
Nov-1986,15.2
Dec-1986,16.1
Jan-1987,18.7
Feb-1987,17.7
Mar-1987,18.3
Apr-1987,18.6
May-1987,19.3
Jun-1987,20.0
Jul-1987,21.3
Aug-1987,20.2
Sep-1987,19.5
Oct-1987,19.9
Nov-1987,18.8
Dec-1987,17.3
Jan-1988,17.2
Feb-1988,16.8
Mar-1988,16.2
Apr-1988,17.9
May-1988,17.4
Jun-1988,16.6
Jul-1988,15.5
Aug-1988,15.5
Sep-1988,14.5
Oct-1988,13.8
Nov-1988,14.0
Dec-1988,16.3
Jan-1989,18.0
Feb-1989,17.8
Mar-1989,19.4
Apr-1989,20.9
May-1989,20.0
Jun-1989,20.0
Jul-1989,19.7
Aug-1989,18.5
Sep-1989,19.6
Oct-1989,20.1
Nov-1989,19.8
Dec-1989,21.1
Jan-1990,22.6
Feb-1990,22.1
Mar-1990,20.4
Apr-1990,18.6
May-1990,18.5
Jun-1990,16.9
Jul-1990,18.6
Aug-1990,27.2
Sep-1990,33.7
Oct-1990,35.9
Nov-1990,32.3
Dec-1990,27.2
Jan-1991,24.7
Feb-1991,20.5
Mar-1991,19.9
Apr-1991,20.8
May-1991,21.2
Jun-1991,20.2
Jul-1991,21.4
Aug-1991,21.7
Sep-1991,21.9
Oct-1991,23.2
Nov-1991,22.4
Dec-1991,19.5
Jan-1992,18.8
Feb-1992,19.0
Mar-1992,18.9
Apr-1992,20.3
May-1992,21.0
Jun-1992,22.4
Jul-1992,21.7
Aug-1992,21.3
Sep-1992,21.9
Oct-1992,21.7
Nov-1992,20.4
Dec-1992,19.4
Jan-1993,19.1
Feb-1993,20.1
Mar-1993,20.3
Apr-1993,20.3
May-1993,20.0
Jun-1993,19.1
Jul-1993,17.9
Aug-1993,18.0
Sep-1993,17.5
Oct-1993,18.2
Nov-1993,16.7
Dec-1993,14.5
Jan-1994,15.0
Feb-1994,14.8
Mar-1994,14.7
Apr-1994,16.3
May-1994,17.8
Jun-1994,19.1
Jul-1994,19.7
Aug-1994,18.4
Sep-1994,17.5
Oct-1994,17.7
Nov-1994,18.1
Dec-1994,17.2
Jan-1995,18.0
Feb-1995,18.5
Mar-1995,18.6
Apr-1995,19.9
May-1995,19.7
Jun-1995,18.4
Jul-1995,17.3
Aug-1995,17.8
Sep-1995,18.2
Oct-1995,17.4
Nov-1995,18.0
Dec-1995,19.0
Jan-1996,18.8
Feb-1996,18.8
Mar-1996,21.2
Apr-1996,23.3
May-1996,21.1
Jun-1996,20.4
Jul-1996,21.3
Aug-1996,21.9
Sep-1996,23.9
Oct-1996,24.9
Nov-1996,23.6
Dec-1996,25.1
Jan-1997,25.2
Feb-1997,22.2
Mar-1997,21.0
Apr-1997,19.7
May-1997,20.9
