Back to Contents,Data 1: U.S. Refinery Utilization and Capacity,,,,,
Sourcekey,MGIRIUS2,MOCLEUS2,MOCGGUS2,MOCIDUS2,MOPUEUS2,
Date,U.S. Gross Inputs to Refineries (Thousand Barrels Per Day),U. S. Operable Crude Oil Distillation Capacity  (Thousand Barrels per Calendar Day),U. S. Operating Crude Oil Distillation Capacity  (Thousand Barrels per Day),U. S. Idle Crude Oil Distillation Capacity  (Thousand Barrels per Day),U.S. Percent Utilization of Refinery Operable Capacity,
Jan-1985,11583,15659,14361,1298,74,
Feb-1985,11485,15559,14293,1266,73.8,
Mar-1985,11484,15582,14268,1314,73.7,
Apr-1985,11969,15640,14605,1035,76.5,
May-1985,12269,15658,14338,1320,78.4,
Jun-1985,12422,15669,14569,1100,79.3,
Jul-1985,12663,15670,14637,1033,80.8,
Aug-1985,12222,15734,14506,1228,77.7,
Sep-1985,12096,15728,14722,1006,76.9,
Oct-1985,12363,15733,14418,1315,78.6,
Nov-1985,12629,15730,14768,962,80.3,
Dec-1985,12744,15687,14672,1014,81.2,
Jan-1986,12583,15459,14639,820,81.4,
Feb-1986,12068,15485,14538,947,77.9,
Mar-1986,11759,15485,14517,968,75.9,
Apr-1986,12603,15473,14550,923,81.5,
May-1986,13314,15484,14805,679,86,
Jun-1986,13347,15465,14649,816,86.3,
Jul-1986,13009,15475,14607,868,84.1,
Aug-1986,13392,15430,14807,624,86.8,
Sep-1986,13191,15435,14870,565,85.5,
Oct-1986,12753,15435,14827,608,82.6,
Nov-1986,12928,15440,14835,606,83.7,
Dec-1986,12914,15440,14662,779,83.6,
Jan-1987,12725,15566,14940,625,81.8,
Feb-1987,12417,15548,14748,799,79.9,
Mar-1987,12237,15559,14816,743,78.6,
Apr-1987,12637,15565,14870,695,81.2,
May-1987,12848,15565,14824,741,82.5,
Jun-1987,13306,15588,14836,751,85.4,
Jul-1987,13612,15701,15122,579,86.7,
Aug-1987,13527,15598,15014,584,86.7,
Sep-1987,13328,15593,14984,609,85.5,
Oct-1987,12896,15592,14935,657,82.7,
Nov-1987,13074,15888,14895,994,82.3,
Dec-1987,13383,15946,14996,951,83.9,
Jan-1988,13175,15915,15018,897,82.8,
Feb-1988,12889,15942,14922,1020,80.9,
Mar-1988,13241,15888,15015,873,83.3,
Apr-1988,13346,15888,14986,902,84,
May-1988,13638,15909,14979,930,85.7,
Jun-1988,13710,15934,14831,1103,86,
Jul-1988,13804,15958,14851,1107,86.5,
Aug-1988,13953,15958,14893,1065,87.4,
Sep-1988,13356,15965,15124,841,83.7,
Oct-1988,13304,15946,15117,829,83.4,
Nov-1988,13354,15909,15081,828,83.9,
Dec-1988,13554,15919,14887,1032,85.1,
Jan-1989,13502,15655,15012,643,86.2,
Feb-1989,12974,15671,14964,707,82.8,
Mar-1989,13131,15669,14931,738,83.8,
Apr-1989,13123,15687,14944,743,83.7,
May-1989,13566,15692,15008,683,86.5,
Jun-1989,14067,15698,15124,575,89.6,
Jul-1989,13957,15698,15097,602,88.9,
Aug-1989,14024,15706,15075,632,89.3,
Sep-1989,13898,15722,14963,759,88.4,
Oct-1989,13533,15722,14946,775,86.1,
Nov-1989,13549,15732,15106,626,86.1,
Dec-1989,13244,15761,15117,644,84,
Jan-1990,13668,15572,15063,509,87.8,
Feb-1990,13695,15578,15036,542,87.9,
Mar-1990,13080,15582,14844,737,83.9,
Apr-1990,13250,15582,14827,754,85,
May-1990,13576,15582,14884,698,87.1,
Jun-1990,13893,15597,14899,698,89.1,
Jul-1990,14414,15598,15100,498,92.4,
Aug-1990,14234,15701,15097,604,90.7,
Sep-1990,14298,15702,15120,582,91.1,
Oct-1990,13076,15666,15125,540,83.5,
Nov-1990,13187,15666,14936,730,84.2,
Dec-1990,12961,15656,14755,901,82.8,
Jan-1991,12931,15676,14959,717,82.5,
Feb-1991,13224,15677,15022,655,84.4,
Mar-1991,13051,15686,15117,569,83.2,
Apr-1991,13283,15698,15127,570,84.6,
May-1991,13748,15709,15159,550,87.5,
Jun-1991,14128,15726,15209,518,89.8,
Jul-1991,13941,15694,15186,508,88.8,
Aug-1991,14005,15724,15230,494,89.1,
Sep-1991,13883,15724,15204,520,88.3,
Oct-1991,13118,15722,15177,545,83.4,
Nov-1991,13156,15722,15144,578,83.7,
Dec-1991,13614,15722,15097,625,86.6,
Jan-1992,13097,15696,14965,731,83.4,
Feb-1992,12742,15671,14940,731,81.3,
Mar-1992,13292,15618,14893,725,85.1,
Apr-1992,13356,15626,14958,668,85.5,
May-1992,13850,15490,14873,618,89.4,
Jun-1992,14285,15458,14808,650,92.4,
Jul-1992,14176,15432,14808,623,91.9,
Aug-1992,13649,15322,14861,460,89.1,
Sep-1992,13886,15308,14814,499,90.7,
Oct-1992,13651,15287,14844,443,89.3,
Nov-1992,13795,15304,14728,576,90.1,
Dec-1992,13400,15311,14691,619,87.5,
Jan-1993,13123,15121,14777,344,86.8,
Feb-1993,13097,15129,14825,304,86.6,
Mar-1993,13507,15133,14910,223,89.3,
Apr-1993,13819,15139,14981,158,91.3,
May-1993,14062,15151,14945,207,92.8,
Jun-1993,14415,15166,15006,160,95.1,
Jul-1993,14458,15198,15059,139,95.1,
Aug-1993,14040,15140,15059,81,92.7,
Sep-1993,14045,15142,15033,109,92.8,
Oct-1993,13902,15137,15000,137,91.8,
Nov-1993,13928,15151,14969,182,91.9,
Dec-1993,13768,15105,14960,146,91.2,
Jan-1994,13526,15058,14718,339,89.8,
Feb-1994,13336,15028,14873,155,88.7,
Mar-1994,13158,15028,14411,617,87.6,
Apr-1994,14009,15161,14375,786,92.4,
May-1994,14467,15162,14970,192,95.4,
Jun-1994,14519,15162,15050,112,95.8,
Jul-1994,14480,15163,15037,126,95.5,
Aug-1994,14618,15165,15039,126,96.4,
Sep-1994,14360,15207,15081,126,94.4,
Oct-1994,13660,15212,15086,126,89.8,
Nov-1994,14101,15217,15081,136,92.7,
Dec-1994,14107,15227,15019,208,92.6,
Jan-1995,13830,15434,15082,353,89.6,
Feb-1995,13567,15436,15128,308,87.9,
Mar-1995,13383,15440,15278,162,86.7,
Apr-1995,13974,15440,15123,318,90.5,
May-1995,14457,15385,15158,227,94,
Jun-1995,14714,15385,15213,172,95.6,
Jul-1995,14461,15376,15042,334,94,
Aug-1995,14473,15393,15236,157,94,
Sep-1995,14592,15272,15154,118,95.6,
Oct-1995,13748,15191,15033,158,90.5,
Nov-1995,14002,15196,15022,174,92.1,
Dec-1995,14196,15210,14949,261,93.3,
Jan-1996,13894,15333,15083,251,90.6,
Feb-1996,13679,15164,14903,261,90.2,
Mar-1996,13941,15186,14950,236,91.8,
Apr-1996,14432,15186,15044,141,95,
May-1996,14538,15182,15037,145,95.8,
Jun-1996,14681,15224,15073,152,96.4,
Jul-1996,14478,15249,15112,138,94.9,
Aug-1996,14538,15306,15168,138,95,
Sep-1996,14637,15259,15121,138,95.9,
Oct-1996,14442,15259,15109,149,94.6,
Nov-1996,14379,15259,15121,138,94.2,
Dec-1996,14391,15259,15069,189,94.3,
Jan-1997,13771,15452,15168,284,89.1,
Feb-1997,13601,15452,15205,247,88,
Mar-1997,14156,15632,15233,399,90.6,
Apr-1997,14465,15616,15229,387,92.6,
May-1997,15232,15616,15449,167,97.5,
Jun-1997,15300,15638,15461,177,97.8,
Jul-1997,15190,15639,15462,177,97.1,
Aug-1997,15465,15641,15452,189,98.9,
Sep-1997,15533,15602,15464,139,99.6,
Oct-1997,15127,15602,15464,139,97,
Nov-1997,14939,15602,15452,150,95.8,
Dec-1997,15188,15628,15424,204,97.2,
Jan-1998,14661,15711,15538,173,93.3,
Feb-1998,14262,15716,15558,158,90.7,
Mar-1998,14901,15735,15550,184,94.7,
Apr-1998,15301,15692,15547,144,97.5,
May-1998,15464,15708,15573,135,98.4,
Jun-1998,15671,15821,15686,135,99.1,
Jul-1998,15705,15826,15691,135,99.2,
Aug-1998,15806,15828,15685,143,99.9,
Sep-1998,15040,15828,15699,129,95,
Oct-1998,14222,15880,15343,537,89.6,
Nov-1998,15095,15927,15478,449,94.8,
Dec-1998,15169,15951,15797,154,95.1,
Jan-1999,14694,16261,16061,200,90.4,
Feb-1999,14623,16245,16019,226,90,
Mar-1999,14783,16256,16125,131,90.9,
Apr-1999,15386,16258,16126,132,94.6,
May-1999,15282,16271,15984,288,93.9,
Jun-1999,15210,16276,16137,139,93.5,
Jul-1999,15454,16287,16134,153,94.9,
Aug-1999,15559,16287,16134,153,95.5,
Sep-1999,15353,16317,16164,153,94.1,
Oct-1999,14860,16317,16118,199,91.1,
Nov-1999,15026,16327,16124,204,92,
Dec-1999,14706,16276,16124,153,90.4,
Jan-2000,14156,16512,16315,197,85.7,
Feb-2000,14260,16505,16291,215,86.4,
Mar-2000,14806,16505,16134,372,89.7,
Apr-2000,15281,16505,15909,596,92.6,
May-2000,15625,16506,16122,384,94.7,
Jun-2000,15867,16496,16125,372,96.2,
Jul-2000,15975,16496,16280,217,96.8,
Aug-2000,15856,16548,16343,205,95.8,
Sep-2000,15582,16549,16350,199,94.2,
Oct-2000,15267,16559,16360,199,92.2,
Nov-2000,15325,16559,16387,172,92.6,
Dec-2000,15546,16559,16387,172,93.9,
Jan-2001,14940,16568,16320,248,90.2,
Feb-2001,15000,16568,16268,301,90.5,
Mar-2001,14857,16620,16354,267,89.4,
Apr-2001,15768,16608,16428,180,94.9,
May-2001,16018,16618,16444,174,96.4,
Jun-2001,15897,16627,16407,220,95.6,
Jul-2001,15638,16662,16442,220,93.9,
Aug-2001,15543,16662,16407,255,93.3,
Sep-2001,15230,16510,16197,313,92.2,
Oct-2001,15196,16510,16155,355,92,
Nov-2001,15231,16512,16257,255,92.2,
Dec-2001,14899,16512,16157,355,90.2,
Jan-2002,14693,16755,16223,532,87.7,
Feb-2002,14510,16755,16291,464,86.6,
Mar-2002,14724,16755,16414,342,87.9,
Apr-2002,15586,16757,16415,342,93,
May-2002,15329,16757,16414,342,91.5,
Jun-2002,15610,16764,16643,121,93.1,
Jul-2002,15666,16764,16643,121,93.5,
Aug-2002,15572,16764,16643,121,92.9,
Sep-2002,15149,16764,16528,236,90.4,
Oct-2002,14614,16700,16463,237,87.5,
Nov-2002,15463,16700,16416,283,92.6,
Dec-2002,15218,16700,16386,313,91.1,
Jan-2003,14611,16757,16484,273,87.2,
Feb-2003,14640,16747,16587,159,87.4,
Mar-2003,15159,16747,16710,36,90.5,
Apr-2003,15754,16747,16711,35,94.1,
May-2003,16038,16747,16711,35,95.8,
Jun-2003,15851,16747,16711,35,94.7,
Jul-2003,15745,16747,16711,35,94,
Aug-2003,15911,16747,16710,36,95,
Sep-2003,15590,16747,16697,49,93.1,
Oct-2003,15480,16747,16697,50,92.4,
Nov-2003,15679,16747,16669,78,93.6,
Dec-2003,15577,16747,16604,143,93,
Jan-2004,15092,16947,16812,135,89.1,
Feb-2004,15056,16948,16891,57,88.8,
Mar-2004,15027,16978,16921,57,88.5,
Apr-2004,15702,16978,16921,57,92.5,
May-2004,16234,16978,16904,73,95.6,
Jun-2004,16552,16978,16921,57,97.5,
Jul-2004,16436,16984,16910,73,96.8,
Aug-2004,16494,16978,16904,74,97.1,
Sep-2004,15302,16978,16904,74,90.1,
Oct-2004,15314,16982,16869,113,90.2,
Nov-2004,16023,16982,16869,113,94.4,
Dec-2004,16135,16982,16869,113,95,
Jan-2005,15632,17125,17006,119,91.3,
Feb-2005,15511,17125,16915,210,90.6,
Mar-2005,15541,17125,17029,96,90.8,
Apr-2005,15899,17129,17084,45,92.8,
May-2005,16242,17234,17096,138,94.2,
Jun-2005,16730,17234,17129,105,97.1,
Jul-2005,16237,17238,17150,88,94.2,
Aug-2005,15969,17230,17141,88,92.7,
Sep-2005,14396,17230,16245,984,83.6,
Oct-2005,14007,17225,15747,1478,81.3,
Nov-2005,15378,17225,16316,909,89.3,
Dec-2005,15395,17224,16308,916,89.4,
Jan-2006,15085,17339,16421,918,87,
Feb-2006,15000,17341,16711,630,86.5,
Mar-2006,14914,17390,16666,724,85.8,
Apr-2006,15303,17390,16597,793,88,
May-2006,15862,17390,17012,378,91.2,
Jun-2006,16171,17390,17132,258,93,
Jul-2006,16091,17392,17150,242,92.5,
Aug-2006,16206,17392,17150,242,93.2,
Sep-2006,16177,17393,17126,267,93,
Oct-2006,15293,17400,17135,265,87.9,
Nov-2006,15311,17400,17075,325,88,
Dec-2006,15766,17400,17155,245,90.6,
Jan-2007,15381,17440,16995,446,88.2,
Feb-2007,14773,17443,16978,466,84.7,
Mar-2007,15185,17443,17023,420,87.1,
Apr-2007,15371,17443,17136,307,88.1,
May-2007,15651,17455,17190,266,89.7,
Jun-2007,15444,17460,16976,485,88.5,
Jul-2007,15922,17460,17122,339,91.2,
Aug-2007,15859,17460,17202,259,90.8,
Sep-2007,15513,17448,17041,407,88.9,
Oct-2007,15249,17448,17221,227,87.4,
Nov-2007,15506,17448,17217,232,88.9,
Dec-2007,15477,17448,17115,333,88.7,
Jan-2008,15087,17594,17226,368,85.8,
Feb-2008,14948,17594,17265,328,85,
Mar-2008,14637,17594,17222,372,83.2,
Apr-2008,15157,17594,17093,501,86.2,
May-2008,15629,17606,17461,146,88.8,
Jun-2008,15768,17610,17464,146,89.5,
Jul-2008,15638,17610,17464,146,88.8,
Aug-2008,15343,17610,17464,146,87.1,
Sep-2008,13139,17610,14959,2651,74.6,
Oct-2008,15037,17621,17311,310,85.3,
Nov-2008,15115,17621,17417,204,85.8,
Dec-2008,14787,17621,17394,227,83.9,
Jan-2009,14538,17672,17342,330,82.3,
Feb-2009,14409,17672,16998,674,81.5,
Mar-2009,14399,17672,17097,575,81.5,
Apr-2009,14610,17672,16817,854,82.7,
May-2009,14838,17672,17174,498,84,
Jun-2009,15194,17672,17308,364,86,
Jul-2009,14891,17681,17191,491,84.2,
Aug-2009,14870,17681,17091,590,84.1,
Sep-2009,15017,17681,17152,529,84.9,
Oct-2009,14419,17688,17140,548,81.5,
Nov-2009,14338,17688,17244,444,81.1,
Dec-2009,14374,17688,16855,833,81.3,
Jan-2010,14065,17597,16864,734,79.9,
Feb-2010,14267,17584,16643,941,81.1,
Mar-2010,14630,17584,16841,743,83.2,
Apr-2010,15592,17589,17054,534,88.7,
May-2010,15510,17589,16872,716,88.2,
Jun-2010,15893,17523,17050,473,90.7,
Jul-2010,16040,17594,17159,434,91.2,
Aug-2010,15681,17594,17020,573,89.1,
Sep-2010,15213,17594,16966,628,86.5,
Oct-2010,14466,17528,16849,678,82.5,
Nov-2010,15166,17528,16644,883,86.5,
Dec-2010,15555,17594,16949,645,88.4,
Jan-2011,15035,17736,16937,799,84.8,
Feb-2011,14195,17736,16904,833,80,
Mar-2011,14963,17736,17032,704,84.4,
Apr-2011,14710,17736,17006,730,82.9,
May-2011,15129,17736,17052,684,85.3,
Jun-2011,15778,17736,17122,614,89,
Jul-2011,16001,17736,17246,491,90.2,
Aug-2011,16009,17736,17109,627,90.3,
Sep-2011,15735,17736,17208,529,88.7,
Oct-2011,15050,17736,16816,921,84.9,
Nov-2011,15426,17730,16487,1244,87,
Dec-2011,15341,17740,16958,782,86.5,
Jan-2012,14865,17367,16789,578,85.6,
Feb-2012,15019,17367,16755,612,86.5,
Mar-2012,14783,17275,16509,766,85.6,
Apr-2012,14952,17275,16713,562,86.6,
May-2012,15657,17275,16541,735,90.6,
Jun-2012,15983,17275,16980,295,92.5,
Jul-2012,15991,17291,17054,237,92.5,
Aug-2012,15679,17211,16881,330,91.1,
Sep-2012,15248,17400,15917,1483,87.6,
Oct-2012,15153,17402,16679,723,87.1,
Nov-2012,15416,17408,16434,974,88.6,
Dec-2012,15717,17391,16610,782,90.4,
Jan-2013,14934,17823,16775,1048,83.8,
Feb-2013,14542,17814,16851,963,81.6,
Mar-2013,14907,17814,16921,893,83.7,
Apr-2013,15282,17814,17005,809,85.8,
May-2013,15714,17815,17228,587,88.2,
Jun-2013,16313,17815,17239,576,91.6,
Jul-2013,16483,17818,17452,365,92.5,
Aug-2013,16291,17820,17444,376,91.4,
Sep-2013,16157,17820,17625,195,90.7,
Oct-2013,15475,17820,17578,242,86.8,
Nov-2013,16135,17820,17625,195,90.6,
Dec-2013,16377,17820,17610,209,91.9,
Jan-2014,15649,17925,17730,194,87.3,
Feb-2014,15518,17925,17691,234,86.6,
Mar-2014,15390,17931,17659,272,85.8,
Apr-2014,16264,17951,17725,226,90.6,
May-2014,16197,17951,17453,498,90.2,
Jun-2014,16087,17825,17579,246,90.3,
Jul-2014,16880,17835,17678,157,94.7,
Aug-2014,16707,17835,17563,272,93.7,
Sep-2014,16358,17835,17678,157,91.7,
Oct-2014,15660,17851,17466,385,87.7,
Nov-2014,16367,17811,17672,139,91.9,
Dec-2014,16751,17811,17635,177,94.1,
Jan-2015,15767,17967,17768,200,87.8,
Feb-2015,15635,17950,17644,305,87.1,
Mar-2015,15878,17950,17461,488,88.5,
Apr-2015,16521,17962,17489,472,92,
May-2015,16612,17962,17819,142,92.5,
Jun-2015,16924,18056,17873,183,93.7,
Jul-2015,17185,18097,17962,135,95,
Aug-2015,16962,18098,17977,121,93.7,
Sep-2015,16427,18138,18028,110,90.6,
Oct-2015,15691,18133,17939,194,86.5,
Nov-2015,16683,18186,17860,326,91.7,
Dec-2015,16842,18186,18044,142,92.6,
Jan-2016,16297,18317,18165,152,89,
Feb-2016,16179,18317,18095,222,88.3,
Mar-2016,16287,18319,18074,245,88.9,
Apr-2016,16223,18319,17606,713,88.6,
May-2016,16477,18319,18085,234,89.9,
Jun-2016,16803,18433,18181,252,91.2,
Jul-2016,17000,18433,18281,152,92.2,
Aug-2016,16976,18433,18313,120,92.1,
Sep-2016,16687,18456,18326,130,90.4,
Oct-2016,15783,18471,18180,291,85.4,
Nov-2016,16545,18491,17955,536,89.5,
Dec-2016,16896,18510,18358,152,91.3,
Jan-2017,16462,18617,18314,303,88.4,
Feb-2017,15827,18617,18169,448,85,
