,"Cushing, OK Crude Oil Future Contract ($/Bar.)",U.S. Field Production of Crude Oil (1k Bar.),Product Supplied of Crude Oil and Petroleum Products (1k Bar.),Operable Crude Oil Distillation Capacity (1k Bar./Calendar Day),Operating Crude Oil Distillation Capacity (1k Bar./Day),Gross Inputs to Refineries (1k Bar./Day),predicted_wti_futures_price
356,45.5,284398,583075,18138,18028,16427,60.90562125146389
357,46.3,291410,603560,18133,17939,15691,56.99816254675388
358,42.9,279975,573163,18186,17860,16683,55.048521435260774
359,37.3,287528,607466,18186,18044,16842,53.15263447463513
360,31.8,285245,590952,18317,18165,16297,52.85402833819389
361,30.6,262841,575396,18317,18095,16179,51.98794292211533
362,38.0,281716,612347,18319,18074,16287,49.893670234084134
363,41.1,266122,580388,18319,17606,16223,49.92753534913063
364,46.8,273781,599120,18319,18085,16477,49.53069807291031
365,48.8,260163,594972,18433,18181,16803,49.772412571311
366,44.8,268470,612364,18433,18281,17000,50.57509368658066
367,44.8,269331,628109,18433,18313,16976,52.72054252028465
368,45.2,256249,593243,18456,18326,16687,54.83877785801888
369,49.9,272860,610208,18471,18180,15783,55.70255221128464
370,45.9,267035,590579,18491,17955,16545,57.20398243665695
371,52.2,273244,619556,18510,18358,16896,58.358204728364946
372,52.6,275058,597976,18617,18314,16462,60.52315132617951
373,53.5,255059,536096,18617,18169,15827,62.0931638032198
374,49.7,284208,621782,18621,18420,16421,63.87495300769807
375,51.1,273090,588635,18621,18420,17276,66.39270235896112
376,48.5,284718,621449,18557,18338,17514,68.21068968176843
377,45.2,273309,616953,18567,18300,17527,69.3522084414959
378,46.7,286635,623884,18567,18300,17659,69.51833802163601
379,48.1,286596,628494,18571,18448,17243,69.701050940156
380,49.9,285487,588882,18496,15927,15788,69.74945892989636
381,51.7,299429,619097,18497,18251,16343,68.12162600159645
382,56.5,302310,609308,18505,18356,17127,66.53910014331342
383,57.9,309359,629896,18543,18511,17562,65.23965753912927
384,63.5,309881,637495,18598,18567,16917,64.25292879343034
385,62.2,287727,551408,18598,18491,16360,62.875045353174215
386,62.9,324296,642668,18598,18561,16945,60.66305107474327
387,66.3,314803,601151,18598,18561,17101,61.83281818926335
388,69.9,323159,627787,18598,18517,17341,62.76624987721444
389,67.3,318837,623108,18598,18523,18041,65.32455618679525
390,70.7,337540,640813,18598,18517,17688,67.63287278413773
391,67.8,352575,662039,18601,18520,17969,69.74726853966713
392,70.1,342660,602523,18601,18526,17383,70.86871908307076
393,70.8,356138,644360,18603,18090,16735,72.92014569044115
394,56.6,356028,623226,18603,18528,17500,73.07274897098542
395,48.7,369644,630152,18603,18528,17749,72.32104288041593
396,51.6,367286,639064,18808,18698,17111,71.1271193087101
397,55.0,326272,567948,18808,18296,16160,69.00260533988477
398,58.2,368867,625463,18808,18621,16323,64.62892993688584
399,63.9,363737,609978,18808,18498,16691,63.865200468897825
400,60.9,376362,632000,18808,18495,17043,62.230463606119166
401,54.7,365366,619619,18808,18692,17699,61.81460394263269
402,57.5,368765,642772,18808,18692,17687,61.74406167566777
403,54.8,386725,655895,18808,18363,17833,61.93185381293298
404,57.0,377169,607454,18808,18363,16728,62.494370889663706
405,54.0,395900,642134,18808,18138,16128,60.67300473451615
406,57.1,388984,622085,18808,18173,17041,60.19388338327408
407,59.8,400219,633729,18808,18221,17395,59.40364251434803
408,57.5,396329,617935,18976,18549,16860,59.27491777837277
409,50.5,371949,583835,18976,18506,16506,58.3921502918005
410,30.4,397298,572348,18976,18452,15756,55.26539200842381
411,16.7,357344,436455,18976,18494,13315,54.102181437611584
412,28.5,301045,498424,18641,18163,13429,53.45699267089367
413,38.3,312593,527342,18622,18154,14217,55.45486990511417
414,40.8,339651,569813,18622,18154,14824,58.71114278137684
415,42.4,327285,575294,18622,18190,14693,62.82989186644555
416,39.6,326042,552445,18386,17103,14138,67.72990085482598
417,39.6,322816,577023,18386,16898,13846,70.17382418215276
418,41.1,333621,562276,18386,17586,14580,72.79461694955826
419,47.1,343591,582852,18386,17626,14539,74.1963204264641
420,52.1,342747,576457,18143,17735,14975,75.26274427175522
421,59.1,273646,488438,18090,17526,12804,75.06209136247637
422,62.4,345946,595319,18090,17035,14834,75.05414891242982
423,61.7,336905,583781,18128,17553,15633,75.52258525490763
424,65.2,351346,622903,18128,17843,16130,72.22735341787339
425,71.4,338645,616115,18128,17910,16743,70.10459834337236
426,72.4,351228,616714,18129,17943,16482,68.58046338856221
427,67.7,347393,635828,18130,17914,16377,68.30953149795533
428,71.5,324654,606706,18130,15800,15797,67.45939680337906
429,81.2,355670,616639,18132,17133,15581,66.72255538105965
